,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
20465,9.789000261933406,True,1301.0,0.00039115321113775305,0.0005448195174702258,1.443900326444135
20466,36.14297422832684,True,1854.0,0.0014442169834702643,0.001939144207469919,1.3505973377013238
20472,4.100507617500406,True,495.0,0.00016384990080318092,0.0002751859344132191,1.7786995103534917
20494,8.192786066171955,True,2143.0,0.00032737097683097397,0.00041276195059832866,1.3132214082636606
20502,352.6924929098745,True,2535.0,0.014093042951725183,0.018483381955856755,1.2715163914731367
20511,3.165032892279452,True,2815.0,0.000126469787112581,0.00014699953073947825,1.2484815346806184
20518,3.6595760272932107,True,1956.0,0.0001462309608924003,0.00018370187865044424,1.338122136532785
20532,3.6314489455512957,True,576.0,0.00014510704649369838,0.0002685211100392976,1.7180438517774759
20535,6.164917051942529,True,1277.0,0.00024634048797021215,0.00034149737966257537,1.4508503088558795
20550,5.243632534479795,True,826.0,0.0002095273928905856,0.0003151131702402114,1.5814011030563744
20555,11.069347157335752,True,1976.0,0.00044231387985837735,0.0005717010867810957,1.3355565261325653
20557,9.540450066301954,True,2264.0,0.0003812215322585293,0.00047754572491073616,1.299472795075725
20579,3.5200897239448263,True,2692.0,0.00014065730536021843,0.00016573789354175063,1.2578331849102258
20598,11.839266710026145,True,1775.0,0.00047307866658779444,0.000624795606909594,1.3622896652459164
20610,3.8433071191272603,True,2206.0,0.00015357256929302566,0.00018984104626515626,1.304909221175078
20620,8.28842288166271,True,449.0,0.00033119247509241225,0.0010408100071842867,1.8155767725552951
20631,39.10212414300444,True,2342.0,0.0015624600073125725,0.0020087401146700367,1.2922151866840585
20633,2.224115898581368,True,2975.0,8.887220884605482e-05,9.963720737092529e-05,1.2355776324622203
20637,6.9375630620907955,True,2463.0,0.0002772142196951488,0.00033961555015447903,1.2793748242083307
20645,3.604508913079374,True,2592.0,0.00014403056473584968,0.00019683929973985054,1.266209642308807
20651,4.3383889452751045,True,1034.0,0.00017335526833193895,0.00024870102245703833,1.5162011885737787
20661,3.2680955810022967,True,1063.0,0.00013058801170791565,0.00018557721104325666,1.5081669598070764
20665,9.19131380456914,True,2529.0,0.00036727059076836646,0.00044995358923934244,1.2721723090140702
20676,2.864377271719059,True,2388.0,0.00011445605656992964,0.00013947750299507503,1.2864324256342607
20708,6.023531298631259,True,1955.0,0.00024069093337454083,0.0003075873719281291,1.338285027255887
20713,1714.0004397490757,True,2246.0,0.06848878924914402,0.08731526690877381,1.3009852042099948
20715,7.984450489264268,True,1622.0,0.0003190462115105997,0.0004233896247558355,1.3829102403309583
20716,10.07816014980747,True,2809.0,0.00040270759009859627,0.00048549498279615885,1.2487930058734902
20718,4.381845110524161,True,2942.0,0.00017509170904356116,0.00020522440586871453,1.238336731626076
20744,15.368660523878342,True,1213.0,0.0006141077488962815,0.0008803878495548281,1.4676062529027172
20778,3.742712592216466,True,553.0,0.00014955296860131329,0.0002855265937376354,1.7323019850635795
20793,2.448625006553883,True,1918.0,9.784324328913462e-05,0.00012028616020999106,1.344141134677758
20809,3.7578374690666525,True,977.0,0.0001501573351341266,0.0003025889744973766,1.533567795995417
20812,19.249730862763833,True,392.0,0.0007691892776617849,0.0014152245258718422,1.8714614525852649
20823,13.568611931504424,True,1657.0,0.0005421806094263736,0.0007270162591164201,1.37807104672919
20824,3.9607450190683444,True,2808.0,0.0001582652049495862,0.0002506062276848638,1.248875232185447
20827,7.171749131978844,True,2008.0,0.00028657193047146345,0.00036556466762718837,1.331547591179605
20841,9.09415361045849,True,1838.0,0.00036338822066884406,0.0004733486325625705,1.3530041152220462
20849,10.259271016098042,True,2494.0,0.0004099444983656215,0.0005053262058196249,1.2762553224046864
20854,11.311745705331663,True,1989.0,0.0004519997484748527,0.000583830100799343,1.3339109069765374
20883,21.224007798635892,True,2304.0,0.000848078310502513,0.0010832001649383636,1.2959482269853266
20884,3.120946286848559,True,2884.0,0.0001247081549927499,0.00014415546493561697,1.2426824433423682
20912,5.8309799715583015,True,1254.0,0.00023299688210494287,0.0003237045785709698,1.4564065285333645
20918,27.05144086228087,True,1137.0,0.0010809334636889983,0.0015951231050112856,1.4888955927471237
20922,5.624900525074281,True,2232.0,0.00022476226824399753,0.00027878625954593357,1.3017607221384122
20924,15.824598386866183,True,1706.0,0.0006323263161058973,0.0008475596629251701,1.3709000254718469
20945,33.36041211314154,True,1614.0,0.001333030133187147,0.001833332595346529,1.3842160428619559
20951,3.68107989745649,True,2982.0,0.00014709022206730956,0.00017046157684427786,1.2340236822488166
20965,3.8198858473189996,True,2687.0,0.0001526366917333573,0.00018071247007575005,1.258135168797445
20983,2.1417876859813747,True,2742.0,8.558250163755194e-05,0.0001025791963311914,1.2537873705425242
20991,3.82314935516818,True,1075.0,0.0001527670964264437,0.000216441383940473,1.5055262905283704
21051,3.5615555305229982,True,1441.0,0.00014231421443790447,0.0001886844149496075,1.4143784228115166
21084,3.45579199624833,True,1359.0,0.00013808806825894393,0.00018489960766132537,1.430858122347377
21111,7.164413151315054,True,361.0,0.00028627879610465334,0.0005239478167183355,1.9104296332567512
21114,7.1511297524653985,True,1985.0,0.00028574801216596333,0.00036527408698259605,1.3343778958147414
21126,14.355918672643101,True,2927.0,0.0005736401611381403,0.000692821094001355,1.2390890228283233
21130,4.664054354900344,True,2268.0,0.00018636835111085842,0.00022957909837379044,1.2991177878869098
21138,2.7056265344198316,True,1198.0,0.00010811262424757579,0.00014670417657319261,1.4725335441148026
21147,6.414787759642765,True,1559.0,0.0002563249324559564,0.0003416464002837634,1.3937141627967176
21150,4.804292851780743,True,2335.0,0.00019197206312557912,0.00023556665275254577,1.293098466965312
21154,15.891770179038222,True,964.0,0.0006350103963493255,0.0009540946665048538,1.5364886089355072
21203,4.082556020372692,True,2444.0,0.00016313258292866188,0.0001991909964280288,1.2821032905314302
21204,28.07110583909709,True,1348.0,0.0011216776887675653,0.0015946689209924917,1.4334574798352817
21213,26.049219497025717,True,2339.0,0.0010408862581725291,0.001332550694964987,1.2926543312306222
21243,35.98065184104478,True,2933.0,0.0014377308335748727,0.0017705272109617186,1.238764312497049
21272,3.5623355379602017,True,1539.0,0.00014234538232079446,0.00020526060040753705,1.3962809417412414
21280,7.513638139465411,True,2045.0,0.00030023328296433356,0.0003821410361512212,1.3277266037699151
21294,3.5768994519653416,True,2347.0,0.00014292733365161602,0.00024041321683059745,1.2914305491955544
21304,10.96416562130176,True,791.0,0.0004381109894230704,0.0006753762771971896,1.593286362773735
21307,14.22980046644905,True,2480.0,0.0005686006739570465,0.0007075993482576502,1.2770883550661332
21316,5.05555490065803,True,1702.0,0.0002020121034387449,0.0002658508570743253,1.3712520940249324
21318,9.609558115236908,True,1375.0,0.0003839829823078761,0.0005282538293443036,1.4268440491065482
21325,3.5154195945911977,True,1226.0,0.00014047069426161582,0.00019252479592631988,1.4631773122129248
21345,3.8632375796128695,True,2128.0,0.00015436895946666944,0.00019486443057660803,1.3155792726262963
21355,12.226659372393872,True,1262.0,0.0004885582742904927,0.0006896623960978339,1.4548696110635233
21364,3.599147030791308,True,819.0,0.00014381631226689475,0.00021364807394974383,1.5838496508935203
21372,3.1226915901341954,True,974.0,0.00012477789459498903,0.0001780781405900702,1.5342000596211895
21385,8.40438057517517,True,793.0,0.00033582596400444224,0.0005138794781310943,1.5928060826456525
21390,11.2713780250091,True,980.0,0.0004503867188127987,0.0006683033411277988,1.532523067982979
21391,6.673192148492243,True,2580.0,0.0002666503695553521,0.0003233617025288395,1.2671474270259615
21400,33.0664710864185,True,2723.0,0.0013212847073610847,0.0016475201425458783,1.2550605633474745
21402,6.4979195973223165,True,1507.0,0.0002596467512715703,0.0003479589889288079,1.4009606826866543
21421,6.121770847597929,True,1197.0,0.00024461643281379085,0.0003441256336021556,1.4725834939578766
21427,5.671264968475766,True,724.0,0.00022661491922303868,0.00035103037707407753,1.6252900831912636
21438,10.543382113923549,True,1230.0,0.00042129713553598456,0.0005954760825694568,1.4623583368162272
21448,17.199337981702882,True,2112.0,0.0006872587701471622,0.000887711893792321,1.3177237287093257
21452,5.0741978601200195,True,872.0,0.0002027570470758419,0.00033546318263538553,1.5651974131882083
21455,11.508233390379536,True,2260.0,0.0004598510904810812,0.0005789829832688999,1.2996686813278067
21458,2.2646855485035227,True,2105.0,9.049330889888606e-05,0.00010843629399382569,1.3185774673384443
21467,6.771319854082922,True,2790.0,0.0002705713999074132,0.00032391481538642555,1.250632566516454
21471,10.90892183027489,True,1444.0,0.00043590353353611797,0.0005962119231943181,1.4138386335402844
21486,9.549632388464426,True,2130.0,0.0003815884435572774,0.00048382681059262907,1.315264781984585
21507,3.459719984136194,True,2195.0,0.00013824502453992625,0.00018731118170408663,1.306447060083572
21508,62.35476748749585,True,2066.0,0.0024915994360863035,0.003304349262345481,1.3242463033352305
21514,18.101256324315028,True,1399.0,0.0007232980230286513,0.0010100972875465041,1.422668641144595
21526,6.796122657403445,True,1739.0,0.0002715624813155696,0.0003551501770144327,1.366151673533702
21530,6.851054115892228,True,1520.0,0.00027375745688053337,0.0003667233665377075,1.3991914589205094
21547,9.707720710267255,True,1429.0,0.000387905406787631,0.0005303685508838525,1.4176855515419022
21598,7.678037986019228,True,2777.0,0.00030680244489807515,0.0003681842432767191,1.2514330683775177
21609,3.205798218759251,True,2512.0,0.00012809870609603016,0.00019075600869101242,1.2733743880069541
21613,5.360231644692595,True,1963.0,0.00021418651181541576,0.0002724083674156598,1.336590042260072
21624,3.6256243169413467,True,1752.0,0.00014487430340211568,0.0001854661388350568,1.364329438293834
21636,7.249266086524958,True,1790.0,0.00028966938729820815,0.00037745342191502834,1.359950632617459
21646,4.115637909762458,True,2331.0,0.0001644544837274218,0.00020085944430908807,1.2933126254239633
21667,11.20746826105192,True,1009.0,0.0004478329841385726,0.000660148055685275,1.5226797821646125
21668,13.219561366818635,True,2035.0,0.0005282330922567984,0.0006823469545585686,1.3285589459500007
21680,4.789205016897462,True,1151.0,0.0001913691767320971,0.0002694266957021595,1.4837439351541406
21681,8.665901455182548,True,480.0,0.00034627593123881355,0.0005952284962881662,1.7877976574814471
21688,11.595000867190489,True,840.0,0.000463318183776492,0.000708417744066712,1.5780090509538316
21715,4.816322450191226,True,1133.0,0.0001924527471506124,0.0002722266368105959,1.490510359073225
21720,3.486778946101096,True,1387.0,0.00013932625853516726,0.0001986472611945299,1.4252999848600774
21725,17.438094735685937,True,971.0,0.0006967991183443592,0.0010486436618385472,1.5346916400502004
21743,5.16668753430414,True,1933.0,0.00020645279047007672,0.0002631949759304603,1.3410162369372662
21744,12.297940994385726,True,567.0,0.0004914065769354161,0.000822312384393685,1.7243870533628185
